NEWCODE,HTS_MASTER_CODE,COUNTRY,NEWRATE,NEWRATE_CLEAN,RATE_MODIFIER,ADDITIONAL_DUTY_PCT,ADDITIONAL_VALUE,ADDITIONAL_UNIT,TRADEPROGRAM,MATCH_PRIORITY
9902.04.13,2922.49.80,Global,0,0.0,,,,,MTB,20
9902.04.14,2922.50.35,Global,0,0.0,,,,,MTB,20
9902.04.15,2922.50.40,Global,0,0.0,,,,,MTB,20
9902.04.16,2923.10.00,Global,0,0.0,,,,,MTB,20
9902.04.17,2923.20.20,Global,0,0.0,,,,,MTB,20
9902.04.18,2923.20.20,Global,0,0.0,,,,,MTB,20
9902.04.19,2923.20.20,Global,0,0.0,,,,,MTB,20
9902.04.20,2924.19.11,Global,0,0.0,,,,,MTB,20
9902.04.21,2924.19.11,Global,0.033,0.033,,,,,MTB,20
9902.04.22,2924.19.11,Global,0,0.0,,,,,MTB,20
9902.04.23,2924.19.11,Global,0,0.0,,,,,MTB,20
9902.04.24,2924.19.11,Global,0,0.0,,,,,MTB,20
9902.04.25,2924.19.11,Global,0,0.0,,,,,MTB,20
9902.04.26,2924.19.80,Global,0,0.0,,,,,MTB,20
9902.04.27,2924.19.80,Global,0,0.0,,,,,MTB,20
9902.04.28,2924.19.80,Global,0,0.0,,,,,MTB,20
9902.04.30,2924.21.16,Global,0.004,0.004,,,,,MTB,20
9902.04.31,2924.21.16,Global,0,0.0,,,,,MTB,20
9902.04.32,2924.29.31,Global,0,0.0,,,,,MTB,20
9902.04.33,2924.29.43,Global,0,0.0,,,,,MTB,20
9902.04.34,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.35,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.36,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.37,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.38,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.39,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.40,2924.29.47,Global,0.015,0.015,,,,,MTB,20
9902.04.41,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.42,2924.29.47,Global,0.042,0.042,,,,,MTB,20
9902.04.43,2924.29.47,Global,0.06,0.06,,,,,MTB,20
9902.04.44,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.45,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.46,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.47,2924.29.47,Global,0,0.0,,,,,MTB,20
9902.04.48,2924.29.71,Global,0.039,0.039,,,,,MTB,20
9902.04.49,2924.29.71,Global,0.042,0.042,,,,,MTB,20
9902.04.50,2924.29.71,Global,0,0.0,,,,,MTB,20
9902.04.51,2924.29.71,Global,0,0.0,,,,,MTB,20
9902.04.52,2924.29.71,Global,0.02,0.02,,,,,MTB,20
9902.04.53,2924.29.77,Global,0,0.0,,,,,MTB,20
9902.04.54,2924.29.77,Global,0,0.0,,,,,MTB,20
9902.04.55,2924.29.77,Global,0,0.0,,,,,MTB,20
9902.04.56,2924.29.77,Global,0,0.0,,,,,MTB,20
9902.04.57,2924.29.95,Global,0,0.0,,,,,MTB,20
9902.04.58,2925.19.42,Global,0,0.0,,,,,MTB,20
9902.04.59,2925.19.91,Global,0,0.0,,,,,MTB,20
9902.04.60,2925.19.91,Global,0,0.0,,,,,MTB,20
9902.04.61,2925.29.60,Global,0,0.0,,,,,MTB,20
9902.04.62,2925.29.60,Global,0,0.0,,,,,MTB,20
9902.04.63,2925.29.90,Global,0,0.0,,,,,MTB,20
9902.04.64,2925.29.90,Global,0,0.0,,,,,MTB,20
9902.04.65,2926.90.21,Global,0.05,0.05,,,,,MTB,20
9902.04.66,2926.90.25,Global,0,0.0,,,,,MTB,20
9902.04.67,2926.90.25,Global,0,0.0,,,,,MTB,20
9902.04.68,2926.90.25,Global,0,0.0,,,,,MTB,20
9902.04.69,2926.90.25,Global,0,0.0,,,,,MTB,20
9902.04.70,2926.90.30,Global,0.034,0.034,,,,,MTB,20
9902.04.71,2926.90.30,Global,0.018,0.018,,,,,MTB,20
9902.04.72,2926.90.30,Global,0,0.0,,,,,MTB,20
9902.04.73,2926.90.30,Global,0,0.0,,,,,MTB,20
9902.04.74,2926.90.30,Global,0,0.0,,,,,MTB,20
9902.04.75,2926.90.30,Global,0,0.0,,,,,MTB,20
9902.04.76,2926.90.30,Global,0,0.0,,,,,MTB,20
9902.04.78,2926.90.30,Global,0,0.0,,,,,MTB,20
9902.04.79,2926.90.43,Global,0,0.0,,,,,MTB,20
9902.04.80,2926.90.48,Global,0,0.0,,,,,MTB,20
9902.04.81,2926.90.48,Global,0,0.0,,,,,MTB,20
9902.04.82,2926.90.48,Global,0,0.0,,,,,MTB,20
9902.04.83,2927.00.50,Global,0,0.0,,,,,MTB,20
9902.04.84,2928.00.25,Global,0.032,0.032,,,,,MTB,20
9902.04.85,2928.00.25,Global,0,0.0,,,,,MTB,20
9902.04.86,2928.00.25,Global,0,0.0,,,,,MTB,20
